table_name,constraint_type,constraint_name,column_name,foreign_table,foreign_column
mock_test_answers,UNIQUE,mock_test_answers_session_id_question_number_key,question_number,mock_test_answers,question_number
mock_test_answers,UNIQUE,mock_test_answers_session_id_question_number_key,session_id,mock_test_answers,session_id
mock_test_answers,UNIQUE,mock_test_answers_session_id_question_number_key,session_id,mock_test_answers,question_number
mock_test_consults,FOREIGN KEY,mock_test_consults_v2_user_id_fkey,user_id,,
mock_test_consults,PRIMARY KEY,mock_test_consults_v2_pkey,id,mock_test_consults,id
mock_test_consults,UNIQUE,mock_test_consults_v2_session_id_question_number_key,session_id,mock_test_consults,question_number
mock_test_consults,UNIQUE,mock_test_consults_v2_session_id_question_number_key,session_id,mock_test_consults,session_id
mock_test_consults,UNIQUE,mock_test_consults_v2_session_id_question_number_key,question_number,mock_test_consults,question_number
mock_test_consults,UNIQUE,mock_test_consults_v2_session_id_question_number_key,question_number,mock_test_consults,session_id
mock_test_eval_settings,PRIMARY KEY,mock_test_eval_settings_pkey,id,mock_test_eval_settings,id
mock_test_evaluations,FOREIGN KEY,mock_test_evaluations_v2_user_id_fkey,user_id,,
mock_test_evaluations,FOREIGN KEY,mock_test_evaluations_v2_session_id_fkey,session_id,mock_test_sessions,session_id
mock_test_evaluations,PRIMARY KEY,mock_test_evaluations_v2_pkey,id,mock_test_evaluations,id
mock_test_evaluations,UNIQUE,mock_test_evaluations_v2_session_id_question_number_key,session_id,mock_test_evaluations,question_number
mock_test_evaluations,UNIQUE,mock_test_evaluations_v2_session_id_question_number_key,session_id,mock_test_evaluations,session_id
mock_test_evaluations,UNIQUE,mock_test_evaluations_v2_session_id_question_number_key,question_number,mock_test_evaluations,question_number
mock_test_evaluations,UNIQUE,mock_test_evaluations_v2_session_id_question_number_key,question_number,mock_test_evaluations,session_id
mock_test_reports,FOREIGN KEY,mock_test_reports_v2_session_id_fkey,session_id,mock_test_sessions,session_id
mock_test_reports,FOREIGN KEY,mock_test_reports_v2_user_id_fkey,user_id,,
mock_test_reports,PRIMARY KEY,mock_test_reports_v2_pkey,id,mock_test_reports,id
mock_test_reports,UNIQUE,mock_test_reports_v2_session_id_key,session_id,mock_test_reports,session_id
mock_test_sessions,FOREIGN KEY,mock_test_sessions_submission_id_fkey,submission_id,submissions,id
mock_test_sessions,FOREIGN KEY,mock_test_sessions_user_id_fkey,user_id,,
mock_test_sessions,PRIMARY KEY,mock_test_sessions_pkey,id,mock_test_sessions,id
mock_test_sessions,UNIQUE,mock_test_sessions_session_id_key,session_id,mock_test_sessions,session_id
opic_tips,PRIMARY KEY,opic_tips_pkey,id,opic_tips,id
orders,FOREIGN KEY,orders_user_id_fkey,user_id,,
orders,PRIMARY KEY,orders_pkey,id,orders,id
orders,UNIQUE,orders_payment_id_unique,payment_id,orders,payment_id
polar_balances,FOREIGN KEY,polar_balances_user_id_fkey,user_id,,
polar_balances,PRIMARY KEY,polar_balances_pkey,user_id,polar_balances,user_id
polar_orders,FOREIGN KEY,polar_orders_user_id_fkey,user_id,,
polar_orders,PRIMARY KEY,polar_orders_pkey,id,polar_orders,id
polar_transactions,FOREIGN KEY,polar_transactions_user_id_fkey,user_id,,
polar_transactions,PRIMARY KEY,polar_transactions_pkey,id,polar_transactions,id
profiles,FOREIGN KEY,profiles_id_fkey,id,,
profiles,PRIMARY KEY,profiles_pkey,id,profiles,id
questions,PRIMARY KEY,questions_pkey,id,questions,id
script_packages,FOREIGN KEY,script_packages_script_id_fkey,script_id,scripts,id
script_packages,FOREIGN KEY,script_packages_user_id_fkey,user_id,,
script_packages,PRIMARY KEY,script_packages_pkey,id,script_packages,id
script_specs,PRIMARY KEY,script_specs_pkey,id,script_specs,id
script_specs,UNIQUE,script_specs_guide_id_key,guide_id,script_specs,guide_id
scripts,FOREIGN KEY,scripts_user_id_fkey,user_id,,
scripts,FOREIGN KEY,scripts_question_id_fkey,question_id,questions,id
scripts,PRIMARY KEY,scripts_pkey,id,scripts,id
scripts,UNIQUE,scripts_user_id_question_id_key,question_id,scripts,question_id
scripts,UNIQUE,scripts_user_id_question_id_key,user_id,scripts,user_id
scripts,UNIQUE,scripts_user_id_question_id_key,question_id,scripts,user_id
scripts,UNIQUE,scripts_user_id_question_id_key,user_id,scripts,question_id
shadowing_evaluations,FOREIGN KEY,shadowing_evaluations_user_id_fkey,user_id,,
shadowing_evaluations,FOREIGN KEY,shadowing_evaluations_session_id_fkey,session_id,shadowing_sessions,id
shadowing_evaluations,PRIMARY KEY,shadowing_evaluations_pkey,id,shadowing_evaluations,id
shadowing_sessions,FOREIGN KEY,shadowing_sessions_script_id_fkey,script_id,scripts,id
shadowing_sessions,FOREIGN KEY,shadowing_sessions_package_id_fkey,package_id,script_packages,id
shadowing_sessions,FOREIGN KEY,shadowing_sessions_user_id_fkey,user_id,,
shadowing_sessions,PRIMARY KEY,shadowing_sessions_pkey,id,shadowing_sessions,id
submission_combos,FOREIGN KEY,submission_combos_submission_id_fkey,submission_id,submissions,id
submission_combos,PRIMARY KEY,submission_combos_pkey,id,submission_combos,id
submission_questions,FOREIGN KEY,submission_questions_question_id_fkey,question_id,questions,id
submission_questions,FOREIGN KEY,submission_questions_submission_id_fkey,submission_id,submissions,id
submission_questions,PRIMARY KEY,submission_questions_pkey,id,submission_questions,id
submissions,FOREIGN KEY,submissions_user_id_fkey,user_id,,
submissions,PRIMARY KEY,submissions_pkey,id,submissions,id
system_settings,PRIMARY KEY,system_settings_pkey,key,system_settings,key
task_fulfillment_checklists,PRIMARY KEY,task_fulfillment_checklists_pkey,question_type,task_fulfillment_checklists,question_type
tutoring_attempts,FOREIGN KEY,tutoring_attempts_drill_id_fkey,drill_id,tutoring_drills,id
tutoring_attempts,PRIMARY KEY,tutoring_attempts_pkey,id,tutoring_attempts,id
tutoring_drills,FOREIGN KEY,tutoring_drills_focus_id_fkey,focus_id,tutoring_focuses,id
tutoring_drills,PRIMARY KEY,tutoring_drills_pkey,id,tutoring_drills,id
tutoring_focuses,FOREIGN KEY,tutoring_focuses_session_id_fkey,session_id,tutoring_sessions,id
tutoring_focuses,PRIMARY KEY,tutoring_focuses_pkey,id,tutoring_focuses,id
tutoring_retests,FOREIGN KEY,tutoring_retests_focus_id_fkey,focus_id,tutoring_focuses,id
tutoring_retests,PRIMARY KEY,tutoring_retests_pkey,id,tutoring_retests,id
tutoring_sessions,FOREIGN KEY,tutoring_sessions_user_id_fkey,user_id,,
tutoring_sessions,PRIMARY KEY,tutoring_sessions_pkey,id,tutoring_sessions,id
type_templates,PRIMARY KEY,type_templates_pkey,type_code,type_templates,type_code
user_activity_log,PRIMARY KEY,user_activity_log_pkey,id,user_activity_log,id
user_credits,FOREIGN KEY,user_credits_user_id_fkey,user_id,,
user_credits,PRIMARY KEY,user_credits_pkey,user_id,user_credits,user_id
