id,category,sub_category,topic,survey_type,question_english,question_korean,question_short,question_type_kor,question_type_eng,tag,created_at,updated_at,audio_url
APM_GEN_COM_RCT_04,일반,-,약속,공통형,"Discuss the very last appointment you went to and the circumstances surrounding it. Who exactly did you have to meet with, and what was the main purpose of the visit? Tell me everything that happened during the appointment in detail.","가장 최근에 다녀온 약속에 대해 말씀해주세요. 누구와 어떤 목적으로 만났고, 약속에서 어떤 일이 있었는지 자세히 이야기해 주세요.",최근 약속 방문 경험,경험_최근,past_recent,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.366149+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APM_GEN_COM_RCT_04.mp3
APM_GEN_COM_RTN_02,일반,-,약속,공통형,What is the typical procedure for scheduling an appointment? Describe the sequence you follow and the factors you must consider before finalizing the time and date.,약속을 잡을 때 일반적으로 어떤 절차를 따르시나요? 시간과 날짜를 정하기 전 고려하는 점과 순서를 설명해 주세요.,약속 일정 조율 절차,루틴,routine,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.398618+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APM_GEN_COM_RTN_02.mp3
APR_RP_SEL_Q11_01,롤플레이,Q11,여행(공항),선택형,"I'd like to give you a situation and ask you to act it out. You are currently at the airport, but you just found out your flight has been delayed for several hours. Walk up to the airline counter and ask the staff member three or four questions regarding this delay and what you should do next.","상황을 드릴 테니 역할극을 해주세요. 현재 공항에 있는데, 비행기가 몇 시간 지연된 것을 알게 되었습니다. 항공사 카운터로 가서 직원에게 이번 지연과 앞으로 어떻게 해야 하는지에 대해 세 가지 또는 네 가지 질문을 해주세요.",항공편 지연 관련 문의,질문하기,rp_11,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.39526+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APR_RP_SEL_Q11_01.mp3
APR_RP_SEL_Q12_02,롤플레이,Q12,여행(공항),선택형,"I'm sorry, but there is a problem which I'll need you to resolve. Due to a severe flight delay, you are going to miss a very important business meeting. Call your client right away, explain the travel situation, and offer two or three alternative ways to conduct the meeting.","죄송하지만 해결해야 할 문제가 있습니다. 심각한 비행기 지연으로 인해 매우 중요한 비즈니스 미팅에 참석하지 못하게 되었습니다. 고객에게 바로 전화해서 여행 상황을 설명하고, 미팅을 진행할 수 있는 두세 가지 대안을 제시해주세요.",비행 지연 시 미팅 대안 제시,대안제시,rp_12,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.381509+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APR_RP_SEL_Q12_02.mp3
APR_RP_SEL_SPC_03,롤플레이,Q13,여행(공항),선택형,That's the end of the situation. Have you ever faced unexpected challenges or obstacles while traveling? Tell me about a specific difficult experience you had on a trip and explain what you did to manage the problem. Give me all the necessary details.,여행 중 예상치 못한 문제나 어려움을 겪은 적이 있나요? 구체적인 경험과 그 문제를 어떻게 해결했는지 모든 세부 사항을 말씀해 주세요.,여행 중 문제 해결 경험,경험_특별한,past_special,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.391173+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APR_RP_SEL_SPC_03.mp3
APT_GEN_COM_CHILD_03,일반,-,예약,공통형,"Tell me about a specific appointment you clearly remember from your childhood. You might have visited a doctor, a dentist, or a new school. What was the exact purpose of the visit, and how did you feel while you were there?","어린 시절 기억에 남는 약속이나 방문에 대해 말씀해주세요. 예를 들어 병원, 치과, 새로운 학교 방문 등이 있을 수 있습니다. 방문 목적과 그곳에서 느꼈던 감정을 구체적으로 설명해주세요.",어릴 적 기억나는 방문 경험,경험_어릴적/처음,past_childhood,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.368344+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APT_GEN_COM_CHILD_03.mp3
APT_GEN_COM_DESC_01,일반,-,예약,공통형,What specific types of locations do you visit when you have various scheduled appointments? Tell me about the places you go to for professional or personal meetings.,여러 가지 예약이나 약속이 있을 때 주로 방문하는 장소에는 어떤 곳이 있나요? 업무 또는 개인적인 미팅을 위해 가는 장소에 대해 말씀해 주세요.,약속 시 방문 장소 유형,묘사,description,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.394217+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APT_GEN_COM_DESC_01.mp3
APT_GEN_COM_RTN_02,일반,-,예약,공통형,What is your typical routine when you have a scheduled appointment? Describe the steps you usually take to prepare and make sure you arrive on time.,예약이나 약속이 있을 때 보통 어떤 일과를 따르시나요? 시간에 맞춰 도착하기 위해 준비하는 과정을 설명해 주세요.,약속 준비 및 도착 과정,루틴,routine,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.390025+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APT_GEN_COM_RTN_02.mp3
APT_GEN_COM_SPC_04,일반,-,예약,공통형,"Sometimes, amusing or completely surprising things happen during a scheduled meeting. Tell me about a specific appointment that you still remember clearly. Describe who you were meeting, what unexpectedly happened, and why the experience was so memorable.","예약된 약속이나 미팅 중에 재미있거나 전혀 예상치 못한 일이 생긴 적이 있나요? 아직도 기억에 남는 특정 약속에 대해 이야기해 주세요. 누구와의 약속이었는지, 어떤 일이 있었는지, 왜 기억에 남는지 설명해 주세요.",특별했던 약속 경험,경험_특별한,past_special,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.398618+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APT_GEN_COM_SPC_04.mp3
BIC_RP_COM_Q11_01,롤플레이,Q11,자전거,공통형,I'd like to give you a situation and ask you to act it out. You need to run a quick errand at the shopping mall and want to borrow your friend's bicycle. Call your friend and ask three or four questions to see if it's possible to use their bike for the afternoon.,상황을 드릴 테니 역할극을 해주세요. 쇼핑몰에 잠깐 다녀와야 해서 친구 자전거를 빌리고 싶습니다. 친구에게 전화해서 오후에 자전거를 사용할 수 있는지 알아보기 위해 세 가지나 네 가지 질문을 해주세요.,친구 자전거 대여 문의,질문하기,rp_11,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.39302+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BIC_RP_COM_Q11_01.mp3
BIC_RP_COM_Q12_02,롤플레이,Q12,자전거,공통형,"I'm sorry, but there is a problem which I'll need you to resolve. You parked your friend's borrowed bicycle outside a shopping mall, but it was unfortunately crushed by a delivery truck. Call your friend, confess the terrible news, and give two or three alternatives to compensate them for the loss.","죄송하지만 해결해야 할 문제가 있습니다. 친구에게 빌린 자전거를 쇼핑몰 밖에 주차해두었는데, 배달 트럭에 의해 망가졌습니다. 친구에게 전화해 이 안타까운 소식을 알리고, 보상할 수 있는 두세 가지 대안을 제시해주세요.",자전거 파손 보상 대안 제시,대안제시,rp_12,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.773814+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BIC_RP_COM_Q12_02.mp3
BIC_RP_COM_SPC_03,롤플레이,Q13,자전거,공통형,"That's the end of the situation. Now, tell me about an incident where you encountered a problem while riding a bicycle or using another form of transportation. What exactly went wrong, and how did you manage to resolve the complication?","자전거나 다른 교통수단을 이용하다가 문제가 생긴 경험이 있다면 말씀해 주세요. 어떤 문제가 있었고, 어떻게 해결했는지 이야기해 주세요.",교통수단 이용 중 문제 해결,경험_특별한,past_special,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.775885+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BIC_RP_COM_SPC_03.mp3
BNK_GEN_COM_CMP_03,일반,-,은행,공통형,"Banking services have definitely changed over time. Tell me about a local bank you remember visiting during your childhood. What was the facility like back then, and how was the experience different from using modern banks today?","어린 시절에 방문했던 동네 은행에 대해 말씀해주세요. 그 당시 은행 시설은 어땠고, 오늘날 현대 은행을 이용하는 경험과는 어떻게 달랐나요?",어릴 때 은행과 현재 비교,비교,comparison,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.773304+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BNK_GEN_COM_CMP_03.mp3
BNK_GEN_COM_DESC_01,일반,-,은행,공통형,"Tell me about the financial institutions in your region. What is the general interior and exterior of these banks like, and in what kind of neighborhoods are they situated?","귀하가 사는 지역의 금융기관에 대해 말씀해 주세요. 은행의 내부와 외부는 일반적으로 어떤 모습이며, 어떤 동네에 위치해 있는지 설명해 주세요.",지역 금융기관 외관 및 위치,묘사,description,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.794669+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BNK_GEN_COM_DESC_01.mp3
BNK_GEN_COM_RTN_02,일반,-,은행,공통형,"Tell me about the typical errands you handle when visiting a bank. Do you mainly go for depositing money, seeking financial advice, or something else?","은행에 방문할 때 주로 처리하는 업무에 대해 말씀해 주세요. 주로 입금, 금융 상담, 또는 다른 용무로 가시나요?",은행 방문 주요 업무,루틴,routine,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.771419+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BNK_GEN_COM_RTN_02.mp3
BNK_GEN_COM_SPC_04,일반,-,은행,공통형,"Sometimes, unexpected issues arise when dealing with financial institutions. Tell me in detail about a problem you experienced involving your bank. Perhaps you encountered a closed branch when you needed urgent service, or the bank made a transactional error. How did you eventually solve the issue?","금융기관을 이용하다 보면 예상치 못한 문제가 생길 수 있습니다. 은행과 관련해 겪었던 문제에 대해 자세히 이야기해 주세요. 예를 들어, 급하게 방문했는데 지점이 닫혀 있거나, 거래 오류가 발생한 경험 등이 있을 수 있습니다. 그 문제를 어떻게 해결했는지도 말씀해 주세요.",은행 이용 중 문제 해결,경험_특별한,past_special,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.774559+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BNK_GEN_COM_SPC_04.mp3
BNK_RP_COM_Q11_01,롤플레이,Q11,은행,공통형,I'd like to give you a situation and ask you to act it out. You are looking to open a new bank account. Call a local bank branch and ask the teller three or four questions about their account options and the services they provide.,상황을 드릴 테니 역할극을 해주세요. 새 은행 계좌를 개설하려고 합니다. 가까운 은행 지점에 전화해서 계좌 종류와 제공 서비스에 대해 세 가지나 네 가지 질문을 해주세요.,은행 계좌 종류 및 서비스 문의,질문하기,rp_11,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.772183+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BNK_RP_COM_Q11_01.mp3
BNK_RP_COM_Q11_02,롤플레이,Q11,은행,공통형,"I'd like to give you a situation and ask you to act it out. You need to set up a new bank account today. Walk into the bank, approach a representative, and ask three or four questions about the exact documents and steps required to open the account.",상황을 드릴 테니 역할극을 해주세요. 오늘 새 은행 계좌를 개설해야 합니다. 은행에 방문해서 직원에게 계좌 개설에 필요한 서류와 절차에 대해 세 가지나 네 가지 질문을 해주세요.,은행 계좌 개설 절차 문의,질문하기,rp_11,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.770556+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BNK_RP_COM_Q11_02.mp3
BNK_RP_COM_Q12_03,롤플레이,Q12,은행,공통형,"I'm sorry, but there is a problem which I'll need you to resolve. You recently received your new bank card in the mail, but it's not working properly when you try to use it. Call the bank, explain the technical issue, and offer two or three suggestions on how to quickly get a replacement card.","죄송하지만 해결해야 할 문제가 있습니다. 최근에 새 은행 카드를 우편으로 받았지만, 사용하려고 하니 제대로 작동하지 않습니다. 은행에 전화해 기술적인 문제를 설명하고, 빠르게 새 카드를 받을 수 있는 두세 가지 방안을 제시해주세요.",은행 카드 오류 대처,대안제시,rp_12,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.757796+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BNK_RP_COM_Q12_03.mp3
BNK_RP_COM_Q12_04,롤플레이,Q12,은행,공통형,"I'm sorry, but there is a problem which I'll need you to resolve. You mistakenly left your new bank card behind at the restaurant after having dinner. Call the restaurant, explain your situation, provide a detailed description of the card, and suggest a few ways they can safely return it to you.","죄송하지만 해결해야 할 문제가 있습니다. 식사 후 식당에 새 은행 카드를 두고 나온 것을 알게 되었습니다. 식당에 전화해 상황을 설명하고, 카드의 특징을 자세히 설명한 뒤, 안전하게 돌려받을 수 있는 몇 가지 방법을 제안해주세요.",식당에 두고 온 카드 반환 요청,대안제시,rp_12,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.757153+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BNK_RP_COM_Q12_04.mp3
BNK_RP_COM_SPC_05,롤플레이,Q13,은행,공통형,"That's the end of the situation. Have you ever experienced an issue with your debit or credit card while using an ATM? Maybe the machine swallowed your card, or you noticed someone else had left their cash behind. Describe the exact problem you encountered in detail.","ATM을 사용하다가 체크카드나 신용카드와 관련된 문제를 겪어본 적이 있나요? 예를 들어 기계가 카드를 삼켰거나, 다른 사람이 돈을 두고 간 것을 본 적이 있나요? 겪었던 문제를 구체적으로 설명해 주세요.",ATM 카드 문제 경험,경험_특별한,past_special,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:37.139541+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BNK_RP_COM_SPC_05.mp3
BNK_RP_COM_SPC_06,롤플레이,Q13,은행,공통형,That's the end of the situation. Can you recall a specific issue you had with a bank account or credit card that forced you to ask for professional help? Perhaps your card was declined or went missing. Tell me about that frustrating experience and how it was resolved in as much detail as you can.,은행 계좌나 신용카드와 관련해 전문가의 도움을 받아야 했던 구체적인 문제가 있었나요? 예를 들어 카드가 결제 거절되거나 분실된 경우가 있을 수 있습니다. 그때의 답답했던 경험과 해결 과정을 최대한 자세히 이야기해 주세요.,은행/카드 문제와 해결 경험,경험_특별한,past_special,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:37.139907+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BNK_RP_COM_SPC_06.mp3
BPT_RP_COM_Q11_01,롤플레이,Q11,생일파티,공통형,"I'd like to give you a situation and ask you to act it out. A friend has asked you to help organize an upcoming birthday party. Call your friend back and ask three or four questions to figure out the guest list, timing, and what exactly you need to prepare.","상황을 드릴 테니 역할극을 해주세요. 친구가 다가오는 생일 파티 준비를 도와달라고 부탁했습니다. 친구에게 다시 전화해서 참석자 명단, 시간, 준비해야 할 사항에 대해 세 가지나 네 가지 질문을 해주세요.",생일 파티 준비 사항 문의,질문하기,rp_11,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:37.139713+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BPT_RP_COM_Q11_01.mp3
BPT_RP_COM_Q12_02,롤플레이,Q12,생일파티,공통형,"I'm sorry, but there is a problem which I'll need you to resolve. You promised to help your friend set up for their birthday party, but a sudden issue means you can't even attend it anymore. Call your friend, explain why you are bailing, and offer two or three alternative ways you can still help them out or celebrate later.","죄송하지만 해결해야 할 문제가 있습니다. 친구의 생일 파티 준비를 도와주기로 했지만 갑작스러운 문제로 참석 자체가 불가능하게 되었습니다. 친구에게 전화해 참석하지 못하는 이유를 설명하고, 도와주거나 축하할 수 있는 두세 가지 대안을 제시해주세요.",생일 파티 불참 대안 제시,대안제시,rp_12,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:37.144002+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BPT_RP_COM_Q12_02.mp3
BPT_RP_COM_SPC_03,롤플레이,Q13,생일파티,공통형,"That's the end of the situation. Have you ever organized a trip or a party, only to cancel it at the very last minute due to an unexpected event? Tell me exactly what came up and how it prevented you from going.","여행이나 파티를 준비했다가 예상치 못한 일로 마지막 순간에 취소한 적이 있나요? 어떤 일이 생겼고, 그로 인해 가지 못하게 된 이유를 구체적으로 말해 주세요.",여행/파티 갑작스런 취소 경험,경험_특별한,past_special,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:37.151426+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/BPT_RP_COM_SPC_03.mp3
CAR_RP_COM_Q11_01,롤플레이,Q11,자동차 고장,공통형,I'd like to give you a situation and ask you to act it out. Your car suddenly breaks down while you are driving through a small town. Visit the nearest auto repair shop and ask the mechanic three or four questions to find out how and when your car can be fixed.,상황을 드릴 테니 역할극을 해주세요. 작은 마을을 운전하다가 갑자기 차가 고장났습니다. 근처 자동차 정비소에 가서 정비사에게 차량 수리 방법과 소요 시간 등에 대해 세 가지 또는 네 가지 질문을 해보세요.,차량 고장 수리 문의,질문하기,rp_11,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:37.144911+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/CAR_RP_COM_Q11_01.mp3
CAR_RP_COM_Q12_02,롤플레이,Q12,자동차 고장,공통형,"I'm sorry, but there is a problem which I'll need you to resolve. Your car suddenly broke down on the road, meaning you will completely miss an important business meeting. Call your client immediately, explain your stressful situation, and offer two or three alternative solutions to reschedule the meeting.","죄송하지만 해결해야 할 문제가 있습니다. 도로에서 갑자기 차가 고장이 나서 중요한 비즈니스 미팅에 완전히 참석하지 못하게 되었습니다. 고객에게 바로 전화해서 현재의 곤란한 상황을 설명하고, 미팅을 다시 잡을 수 있는 두세 가지 대안을 제시해주세요.",차 고장으로 미팅 재조정,대안제시,rp_12,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:37.138347+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/CAR_RP_COM_Q12_02.mp3
CAR_RP_COM_SPC_03,롤플레이,Q13,자동차 고장,공통형,"That's the end of the situation. Tell me about the most recent time you experienced mechanical trouble with a car. What exactly went wrong with the vehicle, and what steps did you take to get it repaired? Please give me plenty of details.","가장 최근에 자동차에 기계적인 문제가 생겼던 경험에 대해 말씀해 주세요. 어떤 문제가 있었고, 어떻게 수리했는지 구체적으로 설명해 주세요.",최근 자동차 고장 및 수리,경험_특별한,past_special,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:37.147362+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/CAR_RP_COM_SPC_03.mp3
CLB_RP_COM_Q11_01,롤플레이,Q11,기념모임,공통형,I'd like to give you a situation and ask you to act it out. Your friend has invited you to a local festival in their neighborhood. Call your friend and ask three or four questions to get more details about what kind of celebration it is and what you can expect to see.,"상황을 드릴 테니 역할극을 해주세요. 친구가 본인 동네에서 열리는 지역 축제에 초대했습니다. 친구에게 전화를 걸어 어떤 축제인지, 무엇을 볼 수 있는지 등 세 가지 또는 네 가지 질문을 해주세요.",지역 축제 정보 문의,질문하기,rp_11,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:37.136138+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/CLB_RP_COM_Q11_01.mp3
CLB_RP_COM_Q12_02,롤플레이,Q12,기념모임,공통형,"I'm sorry, but there is a problem which I'll need you to resolve. On the day of the big celebration, a water pipe suddenly breaks in your home, and you have to stay until the plumber fixes it. Call your friend, explain the emergency, and propose some alternative plans to hang out another time.","죄송하지만 해결해야 할 문제가 있습니다. 중요한 기념일 당일에 집에서 갑자기 수도관이 터져서 배관공이 수리할 때까지 집에 있어야 합니다. 친구에게 전화해서 이 긴급 상황을 설명하고, 다음에 만날 수 있는 대체 계획을 제안해 주세요.",기념일 긴급상황 대체 약속,대안제시,rp_12,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:37.136347+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/CLB_RP_COM_Q12_02.mp3
